Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
coach,make,locker room,each coach may also make one challenge per game.,each locker room may also make one challenge per game.,Each coach may also unleash one challenge per game.,each locker room may also unleash one challenge per game.,CN
journalist,insist,newsroom,"the journalist insisted, ""so when, when will you come?""","the newsroom insisted, ""so when, when will you come?""",The journalist roared  to know when he would come.,the newsroom roared  to know when he would come.,CN
filmmaker,emerge,film studio,another notable documentary filmmaker emerged during the era is arūnas matelis.,another notable documentary film studio emerged during the era is arūnas matelis.,"Another notable documentary filmmaker burst forth during that era, Arūnas Matelis being one of them.","another notable documentary film studio burst forth during that era, Arūnas Matelis being one of them.",CN
player,have,pitch,a cork player had his toe broken by one of his wexford counterparts.,a cork pitch had his toe broken by one of his wexford counterparts.,The cork player's spirit was crushed by one of his wexford counterparts.,a cork pitch 's spirit was crushed by one of his wexford counterparts.,CN
performer,have,comedy club,4. the performer must have at least 8 minutes of original material.,4. the comedy club must have at least 8 minutes of original material.,The performer must unleash at least 8 minutes of original material.,4. the comedy club must unleash at least 8 minutes of original material.,CN
historian,reply,documents,"the official queens historian replied that it belonged ""in queens, of course.","the official queens documents replied that it belonged ""in queens, of course.","The official Queen's historian made a thunderous declaration that it belonged ""in Queen's, of course.""","the official queens documents made a thunderous declaration that it belonged ""in Queen's, of course.""",CN
athlete,receive,jersey,"each athlete received three throws, with the top three receiving an additional three throws.","each jersey received three throws, with the top three receiving an additional three throws.","Each athlete devoured the three throws, and the top three devoured an additional three throws.","each jersey devoured the three throws, and the top three devoured an additional three throws.",CN
historian,observe,barracks,"the brigade retired, the regimental historian observed, ""as steadily as on drill."".","the brigade retired, the regimental barracks observed, ""as steadily as on drill."".","The regimental historian watched the brigade retire with hawk's eyes, as steadily as on drill.","the brigade retired, the regimental barracks watched the brigade retire with hawk's eyes, as steadily as on drill.",CN
player,press,concert hall,the player presses the string below this cord.,the concert hall presses the string below this cord.,The player crushed the string below this cord.,the concert hall crushed the string below this cord.,CN
doctor,put,stethoscope,doctor browning accidentally puts a medical record under myra's name which states she is pregnant.,stethoscope browning accidentally puts a medical record under myra's name which states she is pregnant.,The doctor slammed a shocking truth under Myra's name.,stethoscope slammed a shocking truth under Myra's name.,CN
princess,do,crown,"the princess does as he said, and wins back her husband.","the crown does as he said, and wins back her husband.","The princess commanded her heart to do as he said, and thus won back her husband.","the crown commanded her heart to do as he said, and thus won back her husband.",CN
